Table Name,row,Default Priority,Longname,"description (appears as variable ""comment"" in CMIP6 netCDF files)",units,comment (not sure how this is used),"Notes, Corrections, & Questions",Notes/Questions category,Notes/Questions category (secondary),Notes/Questions category (tertiary),override default severity,# institutions reporting per out_name,# models reporting per out_name,error severity,CF Standard Name,original CMIP6 cell_methods,proposed modification of cell_methods,where rule,new cell_methods,"""where"" extraction","refine ""where"" extraction","""over"" extraction","refine ""over"" extraction","realm implied by ""over"" directive",areaLabelDD,areaLabelDD (more refined),new standard_name criteria for realm,new auto-assigned primary realm,"primary realm for ""nd"" and ""mr"" (by inspection)",composite primary realm,realmLabelDD,auto-assigned additional realm based on standard name,"concat auto-assigned additional realm based on ""over"" directive","expand secondary a and o to ap, ac,op, and oc",user-assigned additional realms,Secondary realm(s),realmsDD,CMIP6 attribute: positive,CMIP6 attribute: type,verticalLabelDD (preliminary),verticalLabelDD (secondary),"indicate ""surface snow"" variables",certain surface variables?,verticalLabelDD (tertiary),verticalLabelDD (by inspection),verticalLabelDD (final),verticalLabelDD (final),horizontalLabelDD,original CMIP6 dimensions,proposed change in dimensions,corrected CMIP6 dimensions,original CMOR entry label,original CMIP6 modeling_realm (1st listed is primary),original CMIP6 frequency,new frequency (intervalReportedDD),temporalLabelDD,cell_measures,"CMIP6 variable name (referred to as ""out_name""; also original ""root"" name)",original CMIP6 almost unique variable label,branded variable label (retaining old root names),proposed new roots,proposed branded variable label,length of old i.d.,length of branded name,larger by a factor of,new-old difference ,"1=ant/grn; 2=globe-avg; 3=dupl.; 4=diff; 5=mult,6= sampling, 7=other",duplicate branded variable names,CMIP6 original primary realm,CMIP6 original secondary realm,CMIP6 abbrev. Primary realm,CMIP6 abbrev. secondary realm,old & new primary realms different,new primary different from all old realms,old primary different from all new realms,variable registry root names,distinct root variable name,same std. name; different root variable name,distinct CMIP6 outnames,distinct standard names,why different variable root name needed?,use_stats variable identifier,corresponding row in use_stats table,download ranking,use_stats & this page consistency,"original: ""where"" extraction","original: refine ""where"" extraction","original: domain from ""where"" directive",,expanded frequency,temporal method,vertical coordinate information,horizontal coordinate information,"""area type"" restriction",definition_qualifier:  additional description of variable.,cleaned definition_qualifier (removing text in brackets from column just to the left),brand description: automatically generated based on branded variable information,"next-generation CMIP comment attribute for variable (constructed from original comment attribute appended to proposed ""definition_qualifier"" (NOTE: The text following the final ""::"" will need to be reviewed and edited.)",dataRegionDD,cleaned version of region,"preliminary long_name: replaces ""time"" with frequency reported ","long_name: adds to brand description both ""frequency"" and for non-global data, ""region"" labels",duplicate long names?,count number of variables with the same (old) label in rows above,table_id transferred from ESGF database,variable_id transferred from ESGF database,old variable label (from ESGF database),# models reporting variable listed in column DD,count number of variables consistent with ESGF label,# models reporting variable listed in column BH,unrequested variables,models/groups providing unrequested variables,variables that might change,subhr,1hr,3hr,6hr,day,mon,yr,dec,fx,all,,,3hr,6hrLev,6hrPlev,6hrPlevPt,AERday,AERhr,AERmon,AERmonZ,Amon,CF3hr,CFday,CFmon,CFsubhr,day,E1hr,E1hrClimMon,E3hr,E3hrPt,E6hrZ,Eday,EdayZ,Efx,Emon,EmonZ,Esubhr,Eyr,fx,IfxAnt,IfxGre,ImonAnt,ImonGre,IyrAnt,IyrGre,LImon,Lmon,Oclim,Oday,Odec,Ofx,Omon,Oyr,SIday,SImon,all,area type,,x,air,sea,land,sea_ice,ice_sheet,other,all,,priority 1,priority 2,priority 3,all,,,,,,,,,,,,,,,,,,,"length of original CMIP6 ""outname""","Exclude from variable registry.  No need to distinguish among variables in different ""regions"" (e.g., Antarctica and Greenland)",Modify dimensions.  No need for special horizontal coordinates. ,Modify dimensions.  Add or remove scalar coordinate.,Modify dimension.  Other,Check units.,Standard name issue.,Modiy root name.,"Deprecate? Eliminate one of ""point"" or ""mean"" variable options.",Depricate?  Few institutions contributed variable to CMIP6.,Eliminate or deprecate?  ,"Modify cell methods.  Include ""where air"".","Modify cell methods.  Include ""where sea"".",Modify cell methods.,number of correction/question error flags found,number of corrections/questions needing individual consideration,branding suffix,duplicate suffix?
CFsubhr,17,1,Upwelling Clear-Sky Longwave Radiation,Upwelling clear-sky longwave radiation  (includes the fluxes at the surface and TOA),W m-2,0,,,,,,missing,missing,,upwelling_longwave_flux_in_air_assuming_clear_sky,area: point time: point,,,area: point time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxys,alevhalf site time1,,alevhalf site time1,rlucs,atmos,subhrPt,subhr,tpt,0,rlucs,rlucs-CFsubhr,rlucs-subhr-unknown-tpt-l-hxys,,rlucs_tpt-l-hxys-x,13,18,1.4,5,,,atmos,,ap,,1,1,0,rlucs,1,,1224,890,,CFsubhr.rlucs,missing,x,error1,x,x,xx,xx --> x,sub-hourly, synoptic samples, provided on multiple model levels and, reported at assorted individual sites,,,,upwelling longwave flux in air assuming clear sky: synoptic samples provided on multiple model levels and reported at assorted individual sites,Upwelling clear-sky longwave radiation  (includes the fluxes at the surface and TOA),global,global,upwelling longwave flux in air assuming clear sky: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,upwelling longwave flux in air assuming clear sky: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,,0,,,-,,0,9,,,0,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxys-x,yes
CFmon,45,1,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,Upwelling clear-sky longwave radiation calculated using carbon dioxide concentrations increased fourfold (includes the fluxes at the surface and TOA),W m-2,0,,,,,,missing,missing,,upwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,rlucs4co2,atmos,mon,mon,tavg,area: areacella,rlucs4co2,rlucs4co2-CFmon,rlucs4co2-mon-unknown-tavg-l-hxy,,rlucs4co2_tavg-l-hxy-x,15,22,1.5,7,,,atmos,,ap,,1,1,0,rlucs4co2,,XXXXX,1225,890,co2,CFmon.rlucs4co2,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, with CO2 quadrupled, with CO2 quadrupled,upwelling longwave flux in air assuming clear sky with CO2 quadrupled: time means provided on multiple model levels and reported on a 2-d spatial grid, with CO2 quadrupled :: Upwelling clear-sky longwave radiation calculated using carbon dioxide concentrations increased fourfold (includes the fluxes at the surface and TOA),global,global,upwelling longwave flux in air assuming clear sky with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,upwelling longwave flux in air assuming clear sky with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,13,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,9,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
Efx,14,1,Upwelling Shortwave Radiation,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),W m-2,Fluxes are requested at all levels,,root,,,,missing,missing,2,upwelling_shortwave_flux_in_air,area: point,,,area: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hm,alevhalf spectband ,,alevhalf spectband ,rsu,atmos,fx,fx,ti,0,rsu,rsu-Efx,rsu-fx-unknown-ti-l-hm,rsubnd,rsubnd_ti-l-hm-x,7,16,2.3,9,,,atmos,,ap,,1,1,0,rsubnd,,,1226,891,,Efx.rsu,missing,x,error1,x,x,xx,xx --> x,, time-independent field, provided on multiple model levels and,,,", spectrally resolved (reported for a single column)",", spectrally resolved (reported for a single column)","upwelling shortwave flux in air, spectrally resolved (reported for a single column): time-independent field provided on multiple model levels and",", spectrally resolved (reported for a single column) :: Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere)",global,global,"upwelling shortwave flux in air, spectrally resolved (reported for a single column):  time-independent field provided on multiple model levels and","upwelling shortwave flux in air, spectrally resolved (reported for a single column):  time-independent field provided on multiple model levels and",,0,,,-,,0,11,,,1,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,3,,,,,,,6:Modify variable root.,,,,,,,1,1,ti-l-hm-x,yes
CFmon,3,1,Upwelling Shortwave Radiation,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),W m-2,Includes also the fluxes at the surface and TOA.,,,,,,missing,missing,,upwelling_shortwave_flux_in_air,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,rsu,atmos,mon,mon,tavg,area: areacella,rsu,rsu-CFmon,rsu-mon-unknown-tavg-l-hxy,,rsu_tavg-l-hxy-x,9,16,1.8,7,,,atmos,,ap,,1,1,0,rsu,,XXXXX,1226,891,,CFmon.rsu,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,,,,upwelling shortwave flux in air: time means provided on multiple model levels and reported on a 2-d spatial grid,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),global,global,upwelling shortwave flux in air: monthly means provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,32,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,3,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
CFsubhr,14,1,Upwelling Shortwave Radiation,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air,area: point time: point,,,area: point time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxys,alevhalf site time1,,alevhalf site time1,rsu,atmos,subhrPt,subhr,tpt,0,rsu,rsu-CFsubhr,rsu-subhr-unknown-tpt-l-hxys,,rsu_tpt-l-hxys-x,11,16,1.5,5,,,atmos,,ap,,1,1,0,rsu,1,,1226,891,,CFsubhr.rsu,missing,x,error1,x,x,xx,xx --> x,sub-hourly, synoptic samples, provided on multiple model levels and, reported at assorted individual sites,,,,upwelling shortwave flux in air: synoptic samples provided on multiple model levels and reported at assorted individual sites,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),global,global,upwelling shortwave flux in air: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,upwelling shortwave flux in air: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,,0,,,-,,0,9,,,0,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,3,,,,,,,,,,,,,,0,0,tpt-l-hxys-x,yes
CFmon,42,1,Upwelling Shortwave Radiation 4XCO2 Atmosphere,Upwelling Shortwave Radiation calculated using carbon dioxide concentrations increased fourfold,W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,rsu4co2,atmos,mon,mon,tavg,area: areacella,rsu4co2,rsu4co2-CFmon,rsu4co2-mon-unknown-tavg-l-hxy,,rsu4co2_tavg-l-hxy-x,13,20,1.5,7,,,atmos,,ap,,1,1,0,rsu4co2,,XXXXX,1227,891,co2,CFmon.rsu4co2,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, with CO2 quadrupled, with CO2 quadrupled,upwelling shortwave flux in air with CO2 quadrupled: time means provided on multiple model levels and reported on a 2-d spatial grid, with CO2 quadrupled :: Upwelling Shortwave Radiation calculated using carbon dioxide concentrations increased fourfold,global,global,upwelling shortwave flux in air with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,13,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,7,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
E3hrPt,42,1,Upwelling Clear-Sky Shortwave Radiation,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),W m-2,Upwelling Clear-Sky Shortwave Radiation,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,rsucs,atmos,3hrPt,3hr,tpt,area: areacella,rsucs,rsucs-E3hrPt,rsucs-3hr-unknown-tpt-l-hxy,,rsucs_tpt-l-hxy-x,12,17,1.4,5,,,atmos,,ap,,1,1,0,rsucs,,,1228,892,,E3hrPt.rsucs,missing,x,error1,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,,,upwelling shortwave flux in air assuming clear sky: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),global,global,upwelling shortwave flux in air assuming clear sky: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air assuming clear sky: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,7,,,0,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
CFmon,7,1,Upwelling Clear-Sky Shortwave Radiation,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),W m-2,Includes also the fluxes at the surface and TOA.,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,rsucs,atmos,mon,mon,tavg,area: areacella,rsucs,rsucs-CFmon,rsucs-mon-unknown-tavg-l-hxy,,rsucs_tavg-l-hxy-x,11,18,1.6,7,,,atmos,,ap,,1,1,0,rsucs,1,,1228,892,,CFmon.rsucs,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,,,,upwelling shortwave flux in air assuming clear sky: time means provided on multiple model levels and reported on a 2-d spatial grid,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),global,global,upwelling shortwave flux in air assuming clear sky: monthly means provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air assuming clear sky: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,32,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
CFsubhr,18,1,Upwelling Clear-Sky Shortwave Radiation,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky,area: point time: point,,,area: point time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxys,alevhalf site time1,,alevhalf site time1,rsucs,atmos,subhrPt,subhr,tpt,0,rsucs,rsucs-CFsubhr,rsucs-subhr-unknown-tpt-l-hxys,,rsucs_tpt-l-hxys-x,13,18,1.4,5,,,atmos,,ap,,1,1,0,rsucs,1,,1228,892,,CFsubhr.rsucs,missing,x,error1,x,x,xx,xx --> x,sub-hourly, synoptic samples, provided on multiple model levels and, reported at assorted individual sites,,,,upwelling shortwave flux in air assuming clear sky: synoptic samples provided on multiple model levels and reported at assorted individual sites,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),global,global,upwelling shortwave flux in air assuming clear sky: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,upwelling shortwave flux in air assuming clear sky: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,,0,,,-,,0,9,,,0,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxys-x,yes
CFmon,46,1,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,Upwelling clear-sky shortwave radiation calculated using carbon dioxide concentrations increased fourfold,W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,rsucs4co2,atmos,mon,mon,tavg,area: areacella,rsucs4co2,rsucs4co2-CFmon,rsucs4co2-mon-unknown-tavg-l-hxy,,rsucs4co2_tavg-l-hxy-x,15,22,1.5,7,,,atmos,,ap,,1,1,0,rsucs4co2,,XXXXX,1229,892,co2,CFmon.rsucs4co2,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, with CO2 quadrupled, with CO2 quadrupled,upwelling shortwave flux in air assuming clear sky with CO2 quadrupled: time means provided on multiple model levels and reported on a 2-d spatial grid, with CO2 quadrupled :: Upwelling clear-sky shortwave radiation calculated using carbon dioxide concentrations increased fourfold,global,global,upwelling shortwave flux in air assuming clear sky with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air assuming clear sky with CO2 quadrupled: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,13,,,0,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,9,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
E3hrPt,39,1,Upwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf spectband time1,,longitude latitude alevhalf spectband time1,rsucsbnd,atmos,3hrPt,3hr,tpt,area: areacella,rsucsbnd,rsucsbnd-E3hrPt,rsucsbnd-3hr-unknown-tpt-l-hxy,,rsucsbnd_tpt-l-hxy-x,15,20,1.3,5,,,atmos,,ap,,1,1,0,rsucsbnd,,XXXXX,1230,892,function of spectral band,E3hrPt.rsucsbnd,missing,x,error1,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,", spectrally resolved",", spectrally resolved","upwelling shortwave flux in air assuming clear sky, spectrally resolved: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid",", spectrally resolved :: Calculated with aerosols but without clouds. This is a standard clear-sky calculation",global,global,"upwelling shortwave flux in air assuming clear sky, spectrally resolved: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid","upwelling shortwave flux in air assuming clear sky, spectrally resolved: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid",,0,,,-,,0,0,,,0,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,8,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
E3hrPt,35,1,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ac,,ac,unknown ac,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,rsucsaf,aerosol,3hrPt,3hr,tpt,area: areacella,rsucsaf,rsucsaf-E3hrPt,rsucsaf-3hr-unknown-tpt-l-hxy,,rsucsaf_tpt-l-hxy-x,14,19,1.4,5,,,aerosol,,ac,,1,1,0,rsucsaf,,,1231,893,,E3hrPt.rsucsaf,missing,x,error1,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,,,upwelling shortwave flux in air assuming clear sky and no aerosol: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,global,global,upwelling shortwave flux in air assuming clear sky and no aerosol: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,upwelling shortwave flux in air assuming clear sky and no aerosol: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,,,-,,0,0,,,0,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,7,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
E3hrPt,37,1,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,W m-2,0,,,,,,missing,missing,,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ac,,ac,unknown ac,up,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf spectband time1,,longitude latitude alevhalf spectband time1,rsucsafbnd,aerosol,3hrPt,3hr,tpt,area: areacella,rsucsafbnd,rsucsafbnd-E3hrPt,rsucsafbnd-3hr-unknown-tpt-l-hxy,,rsucsafbnd_tpt-l-hxy-x,17,22,1.3,5,,,aerosol,,ac,,1,1,0,rsucsafbnd,,XXXXX,1232,893,function of spectral band,E3hrPt.rsucsafbnd,missing,x,error1,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,,", spectrally resolved",", spectrally resolved","upwelling shortwave flux in air assuming clear sky and no aerosol, spectrally resolved: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid",", spectrally resolved :: Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.",global,global,"upwelling shortwave flux in air assuming clear sky and no aerosol, spectrally resolved: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid","upwelling shortwave flux in air assuming clear sky and no aerosol, spectrally resolved: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid",,0,,,-,,0,0,,,0,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,,x,l,x,x,x,x,,x,,10,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
Eday,65,1,Canopy Covered Area Percentage,Percentage of area covered by vegetation.,%,Canopy covered fraction,"Note that several area_fractions are defined earlier, which are distinguished using different variable root names.  vegFrac-Emon and vegFrac-Eyr are defined (for monthly and yearly sampling), and for consistency the daily variable defined here should also be named vegFrac.  Again for consistency, it should have a standard name area_fraction and a cell_methods ""area: time: mean"".  Note that the description and the comment are inconsistent.  If the canopy fraction is required, then a different root name is needed (e.g., canopyFrac).  Finally, does vegetation fraction really change significantly on daily time-scales?",stdNm,cell4,?,3,missing,missing,3,vegetation_area_fraction,area: mean where land time: mean,area: time: mean ,2,area: time: mean ,x,x,x,x,,x,x,lnd,x,,x,unknown,lnd,lnd,lnd,,lnd,unknown lnd,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time,,longitude latitude time,cnc,land,day,day,tavg,area: areacella,cnc,cnc-Eday,cnc-day-unknown-tavg-z0c-hxy,,cnc_tavg-z0-hxy-x,8,17,2.1,9,,,land,,ld,,1,1,1,cnc,,,1233,894,,Eday.cnc,missing,x,error1,land time: mean,land,ld,ld --> x,daily, time means,, reported on a 2-d spatial grid,,,,vegetation area fraction: time means reported on a 2-d spatial grid,Percentage of area covered by vegetation.,global,global,vegetation area fraction: daily means reported on a 2-d spatial grid,vegetation area fraction: daily means reported on a 2-d spatial grid,,0,,,-,,0,6,,,3,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land time: mean,land,x,x,,ld,X,3,,,,,,5:Standard name issue.,,,,,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
